"","Statement","topic","wordcount","charcount"
"256","I think that in small families it must be left up to them to decide how to distribute the jobs. You just need to make women aware that if they choose to stay at home then they'll get a smaller pension. We shouldn't legislate but simply provide advice.","Gender",48,251
"257","Didn't we also say last time that it doesn't make sense to have someone who has spent years getting an education and acquiring skills work as a strawberry picker? That there needs to be a period where you're allowed to look for work in your own field?","Labour market",47,251
"258"," With the pay caps though, if you think about pay caps, people who are high earners, if you're a high earner, what do they do?  They buy bigger houses  houses become more expensive.  Then they go and buy other houses and they rent those houses out.","Econ. Inequality",48,252
"259"," And we talk about poor populations and areas looking bad thats down to the individual again.  I clean my windows and put clean, well, Ive got blinds so can other people.  Ive gone past a house thats got dirty curtains.  Theres no need for it.","Econ. Inequality",46,252
"260"," In Germany, taxation primarily takes the form of taxing income and consumption, but wealth itself is not taxed in Germany. We could think about whether you could address the gap between rich and poor by taxing wealth directly past a certain amount.","Econ. Inequality",43,252
"261"," They understand a lot more if they understand the language, then they understand more of what is going on in this country. If I dont understand the language, I miss the whole background of the culture, I cant follow the news, I cant do anything.","Immigration",46,252
"262","There's one thing we haven't mentioned which I think is important. How much can Denmark cope with? We need to find out how many the country can cope with whilst still maintaining a stable welfare system. Economists must be able to do the maths on that.","Immigration",46,252
"263","If the European Union set a rate quota and said that they'll only receive a certain percentage of the living expenses that apply in the country they're looking to go to. Then regardless of where they end up they'll get roughly the same living expenses.","Immigration",45,252
"264"," You could make it mandatory during maternity leave that women have to work a proportion of it, having some contact with work still. There are keep in touch days that I think are incorporated in certain organisations but you could make it mandatory.","Gender",44,252
"265"," Some older people may want to leave what theyre doing at that time, and maybe, say, sort of, youve been  under pressure, you think, actually, I want to leave this, but I just do 15 hours a week at B&Q.  Thats what Im saying.","Generations",47,252
"266","Particularly when it comes to pensions. If you have a really good pension plan then why would you need an old-age pension? And this thing about child benefit. It's those two things where we can say, right off the bat, 'person X doesn't need it', right?","Generations",46,252
"267"," ...prioritised.  They're given, you know, guaranteed interviews, with those bigger companies. You can't do it for all the little ones, but for all the multimillion pound companies, prioritising, making sure that people get the interviews, at least.","Labour market",38,252
"268"," For instance, you could limit the amount of time the temporary contracts can be used, and then it has to become a permanent position. The question there, depending on different job types, how long the limitation should be and how long it shouldnt.","Labour market",44,252
"269"," I wonder if you dont only do this in cities? Because we havent included the entire agriculture. That too is part of the welfare state because that too has to be subsidized. Important that we have an agriculture in Norway with pure, Norwegian food.","Econ. Inequality",45,253
"270","  Just one thing. I have heard about it here, and in general there has been talk about this recently, that the middle class is really struggling. While it is actually the very middle class that is the most crucial. Because it's the middle class that","Econ. Inequality",46,253
"271"," Much of it is said already. Will be much pressure from outside because of refugees and labour immigration amongst other things. How to create value from it and include and integrate so they can get jobs. It is under investment in integration though.","Immigration",44,253
"272","We can give people a few months, then they need to get back to work. Because if you've been working for three years and you don't get back to work then you need to leave. We'll have to establish a time-frame for how long you're allowed to be unemployed.","Immigration",49,253
"273","  You have mentioned this earlier, well, I can speak from, more exactly, from a personal story, well from my daughter's story - she happened to study abroad and the state, that is how we managed to organise it, that the state co-financed her studies.","Immigration",45,253
"274"," More women maintaining a professional knowledge and portfolio because, say, youre out of work for four years, the worlds changed, so getting back into the workplace after a four year gap is nearly impossible because skills change, policies change.","Gender",40,253
"275"," But its an incentive for many people who are in limited jobs. They have those options. Those who are temporary can stay in those contracts, but if you have two or three temporary contracts, you have to then employ one of those on a permanent basis.","Labour market",47,253
"276"," I see this very differently. If theyre managers and then also work in politics, I can understand this point about their decision-making. But I dont see that as so bad, because everyone can decide for themselves whether they want to do that or not.","Labour market",45,253
"277","  It is in our country. And, you see, I mean, alright, I'm not expecting that it will be issued the next minute, I can wait for it to arrive in 3 days by post mail. OK, acceptable. But it took 14 days. And there were two ladies working in the office.","Labour market",52,253
"278","  Well, then I asked, when there was an English class organised, told them that I would possibly like to take it. She said, why, you took a business English course at the university, and that this is an elementary course. So again, I was dropped out.","Labour market",47,253
"279"," They did this. The BSR , this marketing slogan.","Econ. Inequality",42,254
"280","  I'd like o ask, we said that item one is to cut unemployment as a priority, but then we said that this too could possibly increase unemployment. Should we make a conclusion about where this is now, or should we leave it as it is, since you are just","Econ. Inequality",50,254
"281"," Capping the immigration and then bringing people in with skills that we need.  The benefits youve got to work two to five years before you qualify for them and then Ive got the new one, number three, which is increased tax on immigrants earnings.","Immigration",45,254
"282"," When I have discussed immigrants I think of people outside of the EU. In the EU they have the possibility to settle where they want already. I think outside of EU. It will be refugees and foreign workers from Asia, Africa, the Middle East, who knows?","Immigration",47,254
"283"," It used to be the case in public service for instance that when you have a child, you get extra money, but all of that was done away with. Its no longer an enjoyable idea to have children, because you dont get any more money, and they cost so much","Generations",51,254
"284"," Integration starts at once, really. The difference is in where you are integrated. If you are integrated at home or among in society, right? In sociology class we talked about institutional child upbringing. That is kind of what we are discussing now.","Econ. Inequality",43,255
"285"," Wage inequalities will always exist. There will always be someone cleaning, working at Seven Eleven and all that. There will always be someone getting higher education, working as brokers, working in a bank. The wage inequalities will always be there.","Econ. Inequality",41,255
"286"," I kind of agree with these two, but I think about integration of labour immigrants. Where my wife is from, the Philippines, many come here educated as nurses. It is actually approved in the US, but not in Norway because one needs additional education.","Immigration",45,255
"287"," There are many cases where women have filed legal complaints in court claiming they do the same work and get less money, and I dont know how they ended, but there must be a law of some kind in place now. Its also supported by the constitutional law.","Gender",49,255
"288","Maybe we should name this point 'men's right and duties'. So that it isn't just seen as though they have the right to take parental leave, but also a duty to do so. Otherwise it's as if men have a right to it whereas for women it's a duty. It's connected.","Gender",51,255
"289"," It is relevant if we get many old people with diseases and pain who dont really have a good life to live. Then you live in a country where you cant get help to end it unless you can do it on your own. But it is a little on the side of topic, I feel.","Generations",57,255
"290"," Yeah. Like thisit's alright giving them it, but if they have absolutely no will to work, which is the people we're really worried about, they're not going to work, they're not going to pay it back, and there's no way we can force them to pay it back.","Labour market",49,255
"291"," Im sure its a complex thing, but can be recruitment of teachers, where is it most tempting to work regarding challenges. Then there is language for example. Parents help, many things play a part in how well you do at school. How good the school is...","Econ. Inequality",47,256
"292","It's always seemed strange that those who take care of our children, the elderly and the sick are the ones who are on low incomes, even though they're the ones who keep the whole thing ticking over. They are looked after so that we can work and contribute.","Econ. Inequality",48,256
"293"," If they say were going to bring 20 people in youve got to build something.  So those 20 people are already going to cost us x amount of money because we need to school them so they need to look at their costs against what theyre letting in as well.","Immigration",51,256
"294"," Mandatory language courses, school education, and that once they can speak the German language well and have an education, then they can decide on a career track, and the rest comes on its own once you have the fundamentals in place, like the language.","Immigration",45,256
"295","  No, I also think that X:? No? OK. Which ones  now we have to go through these 3, attractive benefits, complete integration, retaining the experts at home, somehow we need to weight them out of 100%. Which one is the most important? 60:  Integration.","Immigration",46,256
"296"," The greatest thing you can teach your children is independence.  And by sending them away from you, that is the, you knowmy main thing.  I went back to work when  was 11 weeks old.  I havent done that with Lydia and its driving me mad.","Gender",48,256
"297","It's all based on saying that it's the woman who needs to care for the children, if we assume there's equal pay. But then the statistics show that it's women who are better educated, so I can't understand why they're the ones who should get the lowest pay.","Gender",48,256
"298","  Things can be switched, right. And in a family, it is subject to agreement and not up to the state to decide if  the man should pick up the hammer, and the woman a spoon or not. This is exclusively a thing of mutual understanding between the partners.","Gender",49,256
"299","I think we must be careful of thinking about it in such pragmatic terms...of thinking that there's enough work for those who want to work. After all we do have unemployment, and all those who are unemployed aren't lazy people who can't be bothered to work.","Labour market",46,256
"300","  I agree with the gentleman. It is very questionable if you have employed someone, who is...Ill say Muja Hideen, Im kidding but its true. In police also, we need to ask ourselves, can these assimilated foreigners serve in the army, in special forces?","Immigration",44,257
"301","  I would introduce a measure, a measure, how to put this, my suggestion would be: for employers to be entitled to certain subsidies or something, for the time when the female employee is on maternity leave, so that they would not have to decide between","Gender",46,257
"302","  And also, the budget is less burdened. You only subsidize the private kindergarten and they have to ensure proper facilities and equipment themselves. Just with the subsidy, how much is it, 80 % of the programme, its something like that in Slovenia...","Gender",43,257
"303"," You've got people taking money out, and it's not gonna be...you know, the interest on it, you know, so you have to be careful in what you're saying, and how you're doing that.  But I think retiring at 65 would be good.  And that's if you want to retire.","Generations",50,257
"304","32. The way I understood it, one started a company as regular employees, not necessarily handicapped, but for employment, that they dont have to earn so much money, but produce something. Sheltered workshops are for people with physical or mental problems.","Labour market",41,257
"305"," The tax measure is a short-term solution, you can do that relatively quickly. The one with regard to education is more of a long-term process, because it deals with education facilities and provisions and how people must be qualified, teachers and such.","Labour market",43,257
"306"," The problem is that there are so many people willing to work for these low wages. That means if this or that person says they wont work for 8 or 9 euros, that they need at least 12 euros per hour, there are others who will offer to do it for 8.20 euros.","Econ. Inequality",54,258
"307","  These brackets would need to be examined. Income brackets, right. So that theyd also be taken into account when calculating child benefits or all these subsidies. Now youre out very quickly. If your pay exceeds the minimum wage by 100 EUR, youre out.","Econ. Inequality",44,258
"308"," Also with statutory maternity pay its significantly less, I guess, than most people get paid so if youre paying people to come in for these keeping in touch days theres potential for people to earn more, take home a little bit more money for that day","Gender",47,258
"309"," I know people who only work as much as they need to until they say, its enough for me. Other people say, no I want to do more. Those are two different worlds. Then everyone must decide for themselves. But for the state to intervene? I can decide myself.","Gender",50,258
"310"," So not that. Consider a gradual attraction over a longer period of time. Not over night. Anyway, this income has to come from somewhere. They must be taken from some place. It has to be less money for someone in one way or the other. Thats what I think.","Generations",50,258
"311"," In the past, public officials before the second world war, they received less money because of the job security they enjoyed, and that was later changed to make it better for them. But after the war, the benefits increased very quickly and significantly.","Generations",44,258
"312"," It cant be the case that people work for 40 hours as a hairdresser, baker or florist and get a wage that requires extra welfare support from the job center. Thats not right in my view. If people go and work hard, then they should be appropriately paid.","Labour market",49,258
"313"," and theyve got a family of 11 who are on benefits.  Theyve got 11 kids and theyre spending a thousand pounds on childrens presents.  .  So theyre not doing any favours for themselves yet their houses look like squalid and","Econ. Inequality",43,259
"314"," 30:40? That exists are rather big and different. The industrial workers wage is actually quite high. A measure could be to fix a minimum wage by law or something. Because we dont have a minimum wage in the Working Environment Act now, now it is tariff.","Econ. Inequality",47,259
"315","I'm friends with a couple where the man is from the United States, and it was a long time before they knew that he'd be allowed to stay here. And if you can contribute to society and can't get a decision. We should say that you can stay if you can contribute.","Immigration",52,259
"316","There was an engineer who did this test. A highly educated, well-qualified IT engineer with many years' experience. She applied for 200 jobs and didn't get a single interview. She changed the name on the application and was called for an interview right away.","Immigration",44,259
"317"," What we talked about before, the measures taken for mothers with children, the flexible work times or a place to bring the child while the mother works. Maybe also equal opportunities in the job market for women and for men, because men are often favored.","Gender",46,259
"318"," Can we agree on some basic rules for how we speak to one another please? That means being respectful with one another and that opinions can be allowed to stand and that we try to speak to topics that are important to us, but to leave out the emotionality.","Labour market",50,259
"319"," Well, like was said, you would contribute .  Because, I look at it now, I think by the time I retire at, well, I think its 68 I get a state pension, but the reason Im paying is there wont be a state pension, thats what Im thinking.","Econ. Inequality",50,260
"320"," But its getting so out of control.  This is where they need to have a cap on the population.  There has to be a general idea in terms of what is our population figure?  What can be sustained and how do we sustain that?  So there has to be a cap in place.","Immigration",54,260
"321","That's exactly it. You have to base it on an individual assessment, which services must be provided I mean. There might be some who can find work and there are some who cannot, no matter how badly they want to. They can't help it so they shouldn't be punished.","Immigration",49,260
"322","  Well, if the state has been investing so much into the education of this person, if it has been investing not time, but let's say money, if it pays a lot of attention to this individual, particularly if the state will need him or her, he or she should be","Immigration",51,260
"323"," I think that and ensuring that during paternity leave or maternity leave, depending on who takes it, there is that obligation that you will keep in touch with work once every two weeks or whatever to make sure the policy changes and all that sort of stuff","Gender",48,260
"324","Child services and youth services should be kept at the same level in the future. I'm still working despite the fact that I'm a golden oldie and I pay quite a lot of tax. So some of the golden oldies contribute to shouldering the burden of an aging population.","Generations",49,260
"325"," But what you do now, it says in there, that people are on a higher wage, there's 18 years better health that they have. So get the standard of living up, their health should be a bit better. So that's something that they do know. So you have a better diet.","Labour market",52,260
"326"," My 18 year old daughter, she's in fulltime education and she's been running her weekend job, . s","Labour market",43,260
"327","  Perhaps another idea, to determine a certain percentage, to proscribe by law, what percentage can have a minimum pension, so that they wouldnt have to have, like it said here, but to determine a certain percentage of people that can have just the minimum.","Econ. Inequality",45,261
"328","  And determine the age. The age span from which youll be taking. Australians have that as well, from here to here. Not older ones. They only need the workforce, active workforce, and even which occupations would be appropriate for our Slovenia...thats it.","Immigration",43,261
"329","I want to bring up the rights of fathers to their kids again. It's true that it's still the mother who's assigned them, because they're usually census registered at her address. I think it could just as easily be the father's, and that really limits his rights.","Gender",47,261
"330","  I know, my neighbour has a company and when he got a child he first got an earful about not even thinking of taking paternity leave. That...even though paternity leave is something normal now. If he took parental leave, hed probably get fired immediately.","Gender",45,261
"331"," So, keep that the same, but everybody, as soon as you start earning, you start paying national insurance.  And that would go to your pension, and education, and that would...I don't think it should be, like, up to 70, you know.  That is a long time to work.","Generations",49,261
"332","  Right. The situation we have today makes it almost impossible for a person to have the same full-time job from the beginning until retirement. It just doesn't happen anymore. Generally, a person may change 20 jobs in one lifetime, so it has to be flexible.","Labour market",46,261
"333","  Because the Agency would take away  . Perhaps also certain workers of the Employment agency, because it would be found that the workers who are not performing efficiently or are unable to do the newly introduced tasks, would be laid off or made redundant.","Labour market",46,261
"334"," That inheritance inequality gives someone a head start in the housing market, though. Someone gets help whilst others dont. it grows then, because those who get helped get so much richer because they are able to make good economic choices at an early stage.","Econ. Inequality",45,262
"335"," My goal would be successful integration. Education would be part of that, jobs, German language classes, training and employment qualification so that they become contributors to our social welfare system. That also helps with the demographic change as well.","Immigration",40,262
"336","  Also this ratio needs to be kept in mind. How many people move into the country and how many move out. For the time being, Id keep it like the trend according to the table, or approximately so, or as long as we have high unemployment, for the time being...","Immigration",51,262
"337","  For instance, if these immigrants accepted our culture, theyd perhaps feel threatened that they cant carry out their own one anywhere else than in their own family. But they probably want to spend time with friends of the same origin and enjoy themselves.","Immigration",44,262
"338"," The trouble with equal wages, the only people who is going to sort of  is the employers because they're going to have to pay an equal wage to women, it's going to cost them more.  So, it's only the employers that are going to lose out really.","Gender",50,262
"339"," Maybe we have to make the education on healthcare more attractive so that we have more people to take care of the elders. I dont remember when, but there was a campaign: Adopt a pensioner. And it was young people who took old people to the cinema and stuff.","Generations",50,262
"340"," You know, just even have just like an electronic system in place saying yes this person does quality for free NHS treatment, proceed and if not then there's like a bill or something to pay for those who are non EU nationals  as simple as that, simple system.","Immigration",50,263
"341"," Well at the moment people come in and then they go through DWP and they get given a National Insurance number.    You get that letter come through this is your National Insurance number  now you can go and get a job.  Well it could form part of that process.","Immigration",51,263
"342"," Well, but in the beginning its not certain that theyll even get a staying permit. If they start work, theyre getting started on a kind of integration track, which is not a bad thing, but if they have to leave, theres no point in starting with integration.","Immigration",48,263
"343","  That is item number two. Gender should not be a condition for a job. If someone wants to work, even a woman, as a car mechanic  let's make it possible for her to have a go, if she wants to be a man, but hey, men work as hair dressers, as chefs and such, so","Gender",57,263
"344"," They dont have to be millionaires, thats not what Im saying. But one shouldnt have to worry about having enough to get by. Possibility to go on vacation. Hopefully one will have grandchildren. The social. Not freeze to death if the price on energy goes up.","Generations",47,263
"345"," And a thousand euros would be worth a lot less than it is now, because of course the state finances itself via taxes and particularly the consumption of goods that are taxed, and if everyone has a thousand euros, then people can charge 100 euros more in rent.","Generations",49,263
"346","I was around, back when people looked after their elderly. I think it's exceptional that the welfare society has taken that on. It's the welfare society's job to care for you if you're not able to do it yourself. It's difficult to make that the duty of relatives.","Generations",48,263
"347"," One could say for minor mental diseases, musculoskeletal. They who are left out. Two thirds of all disabled people fall into this category. And then there is NAV who is supposed to re-educate people for all sorts of things, but which they arent very good at.","Labour market",47,263
"348"," Take me, when I have worked for 15 years I will most likely have a salary just over a million. I would be happy to lower my income to 500<a0>000 to make sure three others also had 500<a0>000. Wouldnt mind a bit. I believe the government should regulate these things.","Econ. Inequality",51,264
"349"," When I was in school, I know that if some students didnt understand, they were sometimes left behind, and the teachers paid attention to the kids who were further along, and they didnt spend enough time with those students who werent as quick to understand.","Econ. Inequality",46,264
"350"," But you have to look at this, if someone who earns less has the same tax rate. If 10% is 100 euros for the low earner, that is a lot more money for them than for someone who earns much more,; and then 10% would leave the high earner a lot more money left over.","Econ. Inequality",56,264
"351"," If you include them at once, yes, that is for sure. But the main study as shown here, says 30 years. So when looking at the net value, labour immigration, or immigration in itself, is negative, short-term, whichever way you look at it. Short-term meaning 2045.","Immigration",47,264
"352","  Well, they did have to eat something here, right, also live here and had to pay for accommodation. So? They did spend something here. But as far as their savings go, we should not criticise people who economize. The savings will be of benefit in the long run.","Immigration",49,264
"353"," My boy goes to a grammar school and every time wehe had to pass tests and stuff to go into this school, and it's a great school and he thrives in there and it's good for him, but every time we go to any sort of function, any sort of this, that and the other","Gender",56,264
"354"," At the moment there is absolutely nothing in their pension pot because theyve paid all these  so people now in Birmingham Council who try to retire, theres no pension pot. Theyve paid into it all these years and it isnt there for them.","Generations",46,264
"355"," Most of it has been mentioned already. A specific thing I mentioned earlier was open borders for foreign workers. That people can start working as soon as they get here, and that they can pay tax which we need. Raise pension ages, work for as long as they like.","Generations",50,264
"356"," If one has to choose between mental and musculoskeletal, but many of the musculoskeletal diseases are unspecific diseases where the doctors cant find anything specific. It is much the same. They overlap, though. Can turn out differently from person to person.","Labour market",42,264
"357","I was unable to find work after leaving education so I worked as a waiter for a long period of time. Then employers didn't want me anymore because I'd been out of the loop so long. But the others, those who hadn't gone to work in the service sector, they got jobs.","Labour market",52,264
"358","  There is also evaluation of the agency. Well, we have regional offices of the agency, and these need to be evaluated. They should each state exactly how many people they helped found jobs in a year, how effective they were and this can serve as an evaluation.","Labour market",48,264
"359"," Incomers must bring something into the system, they can't just take, take, take.    In 2040 there will be the lack of housing if everybody just keeps coming and coming and coming.  There is that, because we literally aren't going to have anywhere to put people.","Immigration",46,265
"360"," If you want asylum, the way it is today, the asylum seekers are entitled to those rights whether they work or not. It is the others we want to make demands for per today. We agree that economic immigrants have to speak Norwegian and partake in the working life.","Immigration",50,265
"361"," I also have that, that I can picture very many beggars coming to Oslo towards 2040. That will be a challenge. We have quite a few refugees who come to the country now, and integrating them would be a measure. As to what to do about these beggars  I dont know.","Immigration",53,265
"362"," Then you have to get rid of this three month rule, because first they come and are not allowed to do anything for three months. Then they cost money for being here for three months, so we have to take action as soon as theyre here. School, other measures, etc.","Immigration",51,265
"363","So you would have us invest in all the Chinese students who receive state education support and then go back home, or the Swedes who come to study medicine and then go back home? That's a healthy investment in the Swedish, Chinese and Norwegian health care systems.","Immigration",47,265
"364","  I think that we women are still, we have a stronger emotional side, and if you have a sick child     68:  at home, and you have heart surgery to perform, I think a part of your brain is still, it cannot turn off the emotional side, like men can. Just saying.","Gender",52,265
"365"," But if we say we want uniform taxes across Europe, then the next step would be equal wages across Europe, then I would also add equal rent costs across Europe, then we no longer need the foreign aid for development, because we have the same standard Europe-wide.","Econ. Inequality",48,266
"366","But that falls outside of our transparency topic. I understand what you're saying, but then you lose the incentive to make money. When you sit there doing the maths, saying that there's no point making 2,000 more because then you lose benefits. That worries me more.","Econ. Inequality",46,266
"367"," .  So the ones that are here in immigration, you know, immigration or whatever you call it.  If they do something wrong, they should be sent back home.  Why should we ","Immigration",47,266
"368","A lot of people who live on benefits in Denmark also earn money abroad. I know of one who gets early retirement who has a jewellery shop in his home country. You can't do anything. There has been a tightening but it has happened too late. But it's a positive change.","Immigration",51,266
"369"," The combinability of job and family, also with regard to work-life balance and this kind of terminology. Then I also believe many women who want to pursue a career are disadvantaged with regard to having a child, because they feel those things cant be combined.","Gender",46,266
"370","But does that mean that companies need to provide a certain number of part-time positions? That's a problem. Sure people can work part-time, but if I had a business or similar and part-time positions didn't work then I shouldn't be forced to offer that just because.","Gender",46,266
"371"," Yes, because I think theres a lot of  there, if its too long, weve said already, so ultimately, if were looking at the health of the state and welfare, then the people might want to retire earlier, but thats a personal line rather than .","Generations",47,266
"372"," What Im interested in is when you say that everyone receives a basic income, then you say they cant go on a big spree, but they can at least live off of this. Then I can imagine that many people would say, this is pretty comfortable, and Ill just hang around.","Generations",52,266
"373","It's only got better with the statutory daily allowance reform, and then the Danish model needs to be preserved. The key is that now there's an incentive to work because now they count hours instead of weeks to determine the entitlement to statutory daily allowance.","Labour market",45,266
"374","  free money.","Econ. Inequality",48,267
"375","  But thats something different. If youre in the public sector, I understand, that would need to be done. But you cant do that in the economy. If a company is doing well, the managers can give themselves a pay as high as they want, if the workers are paid well.","Econ. Inequality",51,267
"376"," .","Immigration",43,267
"377",": The education system is regulated through entry requirements which ensure that the best candidates get in. If the best candidates are foreigners then they'll probably get in, but there's a limit to it since there are only a certain number of places for each degree.","Immigration",46,267
"378","  I was just looking at what we put up here for a while and I was thinking, while we were talking about migrations, we only focused on the international level. In Slovenia, there is already a problem on the regional level. We have a home problem, because actually","Immigration",49,267
"379"," And of course, I think the people younger than you, they won't have started putting money in pensions.  So that when they get to my age, they're not going to be reliant, I don't think they will have a pension. And I don't think the old age pension will be around.","Generations",52,267
"380"," Different schemes, like weve had the Five a Day, I cant remember what its called now, the dough people, on the TV, theres an advert, theres all sorts of different things like that coming out.  So, maybe having some sort of, you know, aimed at elderly people.","Generations",48,267
"381","Yes, because I think 6,000 is a lot. If you've saved up then you don't need the money. Sure, some people might not save up if it is to be means-tested, but those 6,000 won't make a difference. Personally, I would rather give it to someone who needs it more than I do.","Generations",53,267
"382","  others, so that they to can give their opinion, because they have certain experiences they acquired with time. We should not just say, oh, this one is already completely rusty and is no good. No, they still have a lot to share, a lot of qualities, of knowledge.","Generations",49,267
"383"," We should look to the UKs market instead of the international companies, the majority of products are either supplied by international companies, so if we focus on producing something in the UK from the UK products, that would benefit different sectors as well.","Labour market",44,267
"384","  No, because I know that there is this company, a specific company, my friend who is in a family business, the company they run. I think that they have arranged certain things, but they did not take into account even a half of what the company's requirements are.","Labour market",49,267
"385"," I think its that, kind of, invest to save situation, youre investing initially for the opportunity for those people to contribute more, that learning potential to do more, so theyll be paying more into pensions in the future.  Thats what weve seen in Germany.","Econ. Inequality",45,268
"386"," And when you say there were many people without rights, and now Rossmann would say that many of them came over to work for them. Then I have to ask, does the market regulate itself or doesnt it? To what extent do we influence this? Its a problem to be addressed.","Econ. Inequality",52,268
"387","Precisely this issue of a fair tax system, that's what needs to be sorted out. I think we'll never achieve full equality, but a certain level of equality which the State should regulate through a sensible tax system. And I believe that's an important thing to include.","Econ. Inequality",47,268
"388","I actually really like the idea of having a bit of regulation in this area. Also when it comes to salaries. For example those of football players. They could also be regulated in order to keep them from becoming astronomical. I think it's a very good idea morally too.","Econ. Inequality",49,268
"389","  For instance, what have they done with a cotton field? Basically, they carried this out on an enormous scale, like felled an area the size of half of Slovenia, so that H&M, that they have cotton, that we now have 2 EUR t-shirts. The things coming here nowadays...","Immigration",49,268
"390","  Turned upside down. And to have it a bit, not a bit, but very revamped, restructured, redirected, that's how I'll put it, and not only when it comes to contributions and taxes, but also through education and the red tape and through different forms of employment","Labour market",47,268
"391","  Now it will be difficult to impose a higher tax on this. Because it was said that a business owner, who wants to reward his or her employee, needs to pay 3.000 EURO in order to reward the employee with 1.100 EURO. It is absolutely discouraging for business owners.","Econ. Inequality",50,269
"392"," The only thing that I can see a little bit with it is that in certain circumstances if you've got people going into the military that don't want to be there or are just lazy, can't be bothered to get a job or whatever, does it devalue the military as a career path?","Labour market",54,269
"393","I mean they have that in America remember, they have the private hospitals and they have the charity hospitals where people who haven't got insurance go  how do they recoup that money back I don't know, but they've got two different types of health system haven't they?","Immigration",48,270
"394"," They have to take three and a half hours of German, and a man whos studied 300 hours at B1 level or what have you so he can then work, and if theyre from Anatolia or wherever, it really doesnt matter where, theyre still at the level of my name is, and you are?","Immigration",55,270
"395"," We have so many different influences that enrich us or bring us forward, its question of perspective, but this will increase in the near future, and if we add the climate influences to this, who knows who all will come here by 2040, so identity will be in question.","Immigration",50,270
"396","  Well, there are more and more, even 5 years ago they were not here. 5 years ago I never noticed it. Perhaps a confectioner's wife, who is Albanian, who would be wearing a head scarf, but that was completely normal and was not disturbing. While this thing is, it is.","Immigration",51,270
"397"," Increase free childcare to allow parents back to work sooner.  Equal pay for like for like jobs, and more large corporations, we want cr<e8>che facilities and flexible hours.  So, which one are we going to talk about first, because I cant do all three at the same time.","Gender",49,270
"398"," If you have problems and need a psychologist, and you dont have much money, and you are to see a public psychologist, and you have to wait for one year, and maybe you have hanged yourself before that. If you have money, then you can pay and see a private therapist.","Generations",52,270
"399"," Yes, because many of the things we talk about now is part of the state: teachers, nurses. Those we feel should get higher wages. Then the state needs more money. Then they have to get that money from somewhere, and I think it should be taken from those who earn a lot.","Econ. Inequality",53,271
"400"," But we talked about how the businesses are different too, though. If women are more attracted to jobs within healthcare and men construction work, and the construction work is better paid. Its not the same job, but maybe raise and lower one business ahead of gender.","Gender",47,271
"401"," Plus its a different recognition or acknowledgement of different courses of life. Some have children and are for the first few years of childrearing who abstain from employment for several years, then they may have difficulty getting back into work once youve left.","Gender",44,271
"402"," Yes, because were paying into a pension, the government utilises that money, do what they want with it and we still, if we put in <a3>10, your <a3>10 is <a3>10, they invest that, lend it out, borrow it, or do what they do, then they make a massive millions before we retire.","Generations",53,271
"403"," You earn for your own pension when you work in the summer. You earn for every year you work, and that income contributes to your pension. It is actually by working that you save money for your pension. And then we have this social safety net for those who cant work.","Generations",52,271
"404","M1 But incorporate your basic core skills in there, your English and your maths.  Rather than sitting in a history lesson doing, chucking pens at people and stuff like that. And introducing stuff...rather than waiting 'till you get to 18, and then to 20, while you train.","Labour market",47,271
"405","  So if everybody gets 500 EURO, let's say regardless of one's financial situation. It does not seem just to me. Perhaps a person getting 500 EURO has no other property, and is still required to pay, while someone might already have a lot as it is. From real estate to","Econ. Inequality",51,272
"406"," No, youre not getting paid because the benefit people are already giving you benefit.  Theres a thing at the Job Centre if you already get benefit so you can work 16 hours a week voluntary without it affecting your benefit because it doesnt class as physical work.","Immigration",48,272
"407","Permanent residence and then willingness to integrate and cultural affinity, meaning that you sort enter into a process where you allow yourself to integrate. Because it's a big problem at the moment that people come here without intending to adopt the Danish ways at all.","Immigration",45,272
"408","I agree. Women want to have equal opportunities and the same applies to men. Why should people in the private sector be forced to accept a statutory daily allowance when public sector employees don't have to? Then he could share the 26 weeks of paid leave equally with me.","Gender",49,272
"409","  Id just like to add one more. Control over those getting those...you know, benefits. Look. I used to live next to a kindergarten. They drove cars that blew your mind, and on minimum wage. And they are getting the compensation for parental leave and social benefits...","Econ. Inequality",47,273
"410"," Do gays get an advantage? Because they can choose to have children, they dont just suddenly discover that they are pregnant. Then they have an advantage, right. Because everyone else in a relationship with two genders, they will discover that they are pregnant, right?","Gender",45,273
"411","  When I went to my child's first parent meeting at schools, there were only two dads present. After having a couple of children, which means after some years, I am now noticing that almost half of parents present at parent meetings are fathers. This is changing nicely.","Gender",48,273
"412"," Yes, I think enables companies as well, so rather than the Government going, we need to find more apprenticeships, its an easy way of getting an apprenticeship scheme into smaller companies, who cant afford to invest in a dedicated person for it, and stuff like that.","Generations",47,273
"413"," The accessibility of the facilities available to older people as well. In Germany, theyve got an outrageously good healthcare system for the old. A lot of that is down to them taking personal responsibility for their own health but also having the facilities for them.","Generations",46,273
"414"," Yeah, and we were talking earlier about people that are doing manual jobs, older, these people have done manual jobs for 30 years, actually bring them into an office based environment such as a school to teach that experience. Actually they might end up working longer.","Labour market",47,273
"415"," I think you cant get away from the zero or lower hours contract, but I think somebody on less hours contract than 37 hours or whatever it be, the regular hourly, weekly, contract is, should get paid a bigger, higher or the company should pay them a higher basic rate.","Labour market",51,273
